Designator,Mid X,Mid Y,Rotation,Layer
D1,77.037003,-108.096837,195.0,bottom
D10,118.418499,-104.434015,200.0,bottom
D11,124.232843,-88.459238,200.0,bottom
D12,130.047185,-72.484473,200.0,bottom
D13,135.861527,-56.509688,200.0,bottom
D14,133.28084,-116.22854,200.0,bottom
D15,139.095189,-100.253767,200.0,bottom
D16,144.909529,-84.278995,200.0,bottom
D17,150.723876,-68.304213,200.0,bottom
D18,149.511276,-124.264281,200.0,bottom
D19,155.325616,-108.289511,200.0,bottom
D2,81.436928,-91.676107,195.0,bottom
D20,161.139958,-92.314737,200.0,bottom
D21,166.954296,-76.339965,200.0,bottom
D22,136.435045,-139.724297,200.0,bottom
D23,154.828907,-152.787692,228.0,bottom
D24,165.898048,-172.446289,256.0,bottom
D25,304.578317,-108.096847,165.0,bottom
D26,300.178397,-91.676112,165.0,bottom
D27,295.77848,-75.255366,165.0,bottom
D28,291.378555,-58.834626,165.0,bottom
D29,281.821398,-102.976119,160.0,bottom
D3,85.83685,-75.255363,195.0,bottom
D30,276.007058,-87.001343,160.0,bottom
D31,270.192696,-71.026567,160.0,bottom
D32,264.378363,-55.051797,160.0,bottom
D33,269.011167,-120.408793,160.0,bottom
D34,263.196825,-104.434017,160.0,bottom
D35,257.382481,-88.459238,160.0,bottom
D36,251.568134,-72.484467,160.0,bottom
D37,245.753802,-56.509698,160.0,bottom
D38,248.33448,-116.228532,160.0,bottom
D39,242.520144,-100.253768,160.0,bottom
D4,90.236761,-58.834617,195.0,bottom
D40,236.70579,-84.278995,160.0,bottom
D41,230.891445,-68.304215,160.0,bottom
D42,232.10405,-124.264283,160.0,bottom
D43,226.289715,-108.289515,160.0,bottom
D44,220.47537,-92.314741,160.0,bottom
D45,214.661023,-76.33996,160.0,bottom
D46,245.180288,-139.7243,160.0,bottom
D47,226.786424,-152.787693,132.0,bottom
D48,215.717265,-172.446292,104.0,bottom
D5,99.793928,-102.976123,200.0,bottom
D6,105.608268,-87.001347,200.0,bottom
D7,111.422622,-71.026566,200.0,bottom
D8,117.236957,-55.051799,200.0,bottom
D9,112.60415,-120.408798,200.0,bottom
H1,106.479692,-44.966048,345.0,top
H2,96.117211,-113.07782,340.0,top
H3,123.673868,-129.758724,340.0,top
H4,190.807666,-171.236687,0.0,top
H5,275.135633,-44.966043,15.0,top
H6,285.498114,-113.077818,20.0,top
H7,257.941453,-129.758727,20.0,top
JST_BAT1,206.37998,-97.445042,180.0,bottom
PWR1,153.904384,-49.525514,212.5,bottom
RE1,191.057661,-153.442038,90.0,top
RST1,227.728879,-49.659226,327.0,bottom
S1,80.052705,-101.488893,195.0,bottom
S10,121.786047,-97.586456,200.0,bottom
S11,127.600396,-81.61168,200.0,bottom
S12,133.414727,-65.636903,200.0,bottom
S13,139.229073,-49.662135,200.0,bottom
S14,136.648385,-109.380969,200.0,bottom
S15,142.462736,-93.406197,200.0,bottom
S16,148.277079,-77.431429,200.0,bottom
S17,154.091418,-61.456653,200.0,bottom
S18,152.878816,-117.416721,200.0,bottom
S19,158.69317,-101.441946,200.0,bottom
S2,84.45263,-85.068162,195.0,bottom
S20,164.507507,-85.467176,200.0,bottom
S21,170.32185,-69.492402,200.0,bottom
S22,139.802592,-132.876739,200.0,bottom
S23,159.563103,-148.054626,228.0,bottom
S24,170.807843,-172.442311,256.0,bottom
S25,304.443777,-103.198463,165.0,bottom
S26,300.043844,-86.777721,165.0,bottom
S27,295.643924,-70.356983,165.0,bottom
S28,291.244001,-53.936239,165.0,bottom
S29,280.801729,-98.017279,160.0,bottom
S3,88.852554,-68.647421,195.0,bottom
S30,274.98738,-82.042497,160.0,bottom
S31,269.173038,-66.067729,160.0,bottom
S32,263.358702,-50.092946,160.0,bottom
S33,267.991506,-115.449938,160.0,bottom
S34,262.177148,-99.475169,160.0,bottom
S35,256.362821,-83.500395,160.0,bottom
S36,250.54847,-67.525614,160.0,bottom
S37,244.734138,-51.55084,160.0,bottom
S38,247.314813,-111.26968,160.0,bottom
S39,241.500464,-95.294912,160.0,bottom
S4,93.252481,-52.226686,195.0,bottom
S40,235.686135,-79.320137,160.0,bottom
S41,229.871792,-63.345368,160.0,bottom
S42,231.084386,-119.305437,160.0,bottom
S43,225.270047,-103.330656,160.0,bottom
S44,219.455704,-87.355879,160.0,bottom
S45,213.641354,-71.381114,160.0,bottom
S46,244.160607,-134.765447,160.0,bottom
S47,221.161269,-148.250551,132.0,bottom
S48,209.163785,-169.504217,104.0,bottom
S5,103.161469,-96.128557,200.0,bottom
S6,108.97582,-80.153789,200.0,bottom
S7,114.790163,-64.179013,200.0,bottom
S8,120.60451,-48.204235,200.0,bottom
S9,115.971697,-113.561228,200.0,bottom
